timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:13:23,qa-userapi-1,198.33,481.2MiB on 1GiB,46.99,10.7MB on 7.82MB,0B on 229kB
10:13:23,qa-eureka-1,1.62,213.2MiB on 512MiB,41.64,66.1kB on 458kB,0B on 246kB
10:13:23,qa-mysql-order-1,15.74,414.7MiB on 15.26GiB,2.65,20.7MB on 31.4MB,131kB on 406MB
10:13:23,qa-redis-1,1.87,6.43MiB on 15.26GiB,0.04,9.52MB on 6.14MB,0B on 2.23MB
10:13:23,qa-mysql-user-1,4.06,405.3MiB on 15.26GiB,2.59,3.63MB on 7MB,131kB on 313MB
10:13:23,qa-kafka-1,6.95,417.9MiB on 15.26GiB,2.67,2.41MB on 1.23MB,0B on 4.53MB
10:13:32,qa-k6-run-a4819b779e3c,8.77,126.1MiB on 15.26GiB,0.81,14.8MB on 10.4MB,0B on 0B
10:13:32,qa-gateway-1,9.98,240.7MiB on 768MiB,31.34,25MB on 30.4MB,0B on 328kB
10:13:32,qa-orderapi-1,48.82,383.3MiB on 1GiB,37.43,53MB on 44.8MB,0B on 225kB
10:13:32,qa-userapi-1,200.97,481.5MiB on 1GiB,47.02,11.1MB on 8.18MB,0B on 229kB
10:13:32,qa-eureka-1,4.10,213.3MiB on 512MiB,41.66,67.1kB on 470kB,0B on 246kB
10:13:32,qa-mysql-order-1,15.85,415.1MiB on 15.26GiB,2.66,22MB on 33.6MB,131kB on 412MB
10:13:32,qa-redis-1,1.76,6.32MiB on 15.26GiB,0.04,10.2MB on 6.63MB,0B on 2.23MB
10:13:32,qa-mysql-user-1,3.78,405.3MiB on 15.26GiB,2.59,3.81MB on 7.36MB,131kB on 314MB
10:13:32,qa-kafka-1,7.94,418MiB on 15.26GiB,2.67,2.54MB on 1.28MB,0B on 4.77MB
10:13:40,qa-k6-run-a4819b779e3c,7.22,127.1MiB on 15.26GiB,0.81,15.7MB on 11MB,0B on 0B
10:13:40,qa-gateway-1,18.55,240.5MiB on 768MiB,31.31,26.3MB on 31.9MB,0B on 340kB
10:13:40,qa-orderapi-1,35.89,384MiB on 1GiB,37.50,56.2MB on 47.3MB,0B on 238kB
10:13:40,qa-userapi-1,212.11,492.7MiB on 1GiB,48.12,11.7MB on 8.59MB,0B on 242kB
10:13:40,qa-eureka-1,1.56,213.4MiB on 512MiB,41.68,68.8kB on 488kB,0B on 258kB
10:13:40,qa-mysql-order-1,15.68,416MiB on 15.26GiB,2.66,23.2MB on 35.6MB,131kB on 420MB
10:13:40,qa-redis-1,1.75,6.438MiB on 15.26GiB,0.04,10.8MB on 7.1MB,0B on 2.23MB
